epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
107,C3_anneal,0.113016,0.063717,0.056508,1.000000,1.000000,0.326468,0.380449,0.293083,0.431461,0.349611,0.218928
108,C3_anneal,0.114054,0.058234,0.057027,1.000000,1.000000,0.325778,0.381175,0.293047,0.431705,0.348980,0.219315
109,C3_anneal,0.120639,0.061792,0.060320,1.000000,1.000000,0.325368,0.381180,0.293451,0.431161,0.348964,0.219875
110,C3_anneal,0.114910,0.060820,0.057455,1.000000,1.000000,0.325042,0.380738,0.294220,0.430846,0.350197,0.218957
111,C3_anneal,0.113797,0.065215,0.056899,1.000000,1.000000,0.325816,0.380702,0.293482,0.430944,0.351862,0.217194
112,C3_anneal,0.116740,0.059476,0.058370,1.000000,1.000000,0.327305,0.378971,0.293724,0.426975,0.354528,0.218497
113,C3_anneal,0.111711,0.058946,0.055855,1.000000,1.000000,0.328240,0.377743,0.294017,0.426881,0.354560,0.218559
114,C3_anneal,0.112788,0.063119,0.056394,1.000000,1.000000,0.327220,0.378861,0.293920,0.425864,0.355287,0.218849
115,C3_anneal,0.110262,0.059617,0.055131,1.000000,1.000000,0.327762,0.377727,0.294511,0.425532,0.353338,0.221130
116,C3_anneal,0.111766,0.060904,0.055883,1.000000,1.000000,0.327980,0.377306,0.294714,0.424621,0.353602,0.221777
117,C3_anneal,0.107266,0.060178,0.053633,1.000000,1.000000,0.328305,0.376627,0.295068,0.424836,0.353789,0.221375
118,C3_anneal,0.108773,0.060704,0.054387,1.000000,1.000000,0.327456,0.377305,0.295239,0.425161,0.352416,0.222423
119,C3_anneal,0.110534,0.062388,0.055267,1.000000,1.000000,0.327807,0.376640,0.295553,0.426551,0.350370,0.223079
120,C3_anneal,0.111706,0.061485,0.055853,1.000000,1.000000,0.326939,0.376918,0.296143,0.425773,0.350053,0.224174
121,C3_anneal,0.105836,0.060937,0.052918,1.000000,1.000000,0.326602,0.377569,0.295828,0.427238,0.349287,0.223476
