epoch,stage,total,bce,nc,q,anchor,consistency,consistency_weight,csr_alpha,csr_gate,p3_residual_ratio,p4_residual_ratio,pixel_reliability,q_max,q_min,sample_reliability,scale_loss
71,C3_anneal,0.039014,0.008367,0.030648,1.545751,0.008367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977753,1.545751,1.545751,0.500000,0.000000
72,C3_anneal,0.040116,0.008405,0.031711,1.536783,0.008405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978083,1.536783,1.536783,0.500000,0.000000
73,C3_anneal,0.039921,0.008117,0.031804,1.527956,0.008117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978237,1.527956,1.527956,0.500000,0.000000
74,C3_anneal,0.039928,0.008312,0.031616,1.519294,0.008312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978137,1.519294,1.519294,0.500000,0.000000
75,C3_anneal,0.041341,0.008124,0.033217,1.510824,0.008124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978376,1.510824,1.510824,0.500000,0.000000
76,C3_anneal,0.040872,0.008160,0.032712,1.502571,0.008160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978255,1.502571,1.502571,0.500000,0.000000
77,C3_anneal,0.038696,0.007946,0.030749,1.494561,0.007946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977787,1.494561,1.494561,0.500000,0.000000
78,C3_anneal,0.040449,0.007626,0.032823,1.486818,0.007626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978586,1.486818,1.486818,0.500000,0.000000
79,C3_anneal,0.040791,0.007987,0.032805,1.479367,0.007987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977941,1.479367,1.479367,0.500000,0.000000
80,C3_anneal,0.039307,0.007647,0.031661,1.472233,0.007647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978057,1.472233,1.472233,0.500000,0.000000
81,C3_anneal,0.042383,0.008616,0.033766,1.465438,0.008616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977932,1.465438,1.465438,0.500000,0.000000
82,C3_anneal,0.040749,0.007890,0.032860,1.459006,0.007890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977825,1.459006,1.459006,0.500000,0.000000
83,C3_anneal,0.039162,0.007357,0.031805,1.452945,0.007357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978336,1.452945,1.452945,0.500000,0.000000
84,C3_anneal,0.040443,0.007683,0.032760,1.446947,0.007683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978192,1.446947,1.446947,0.500000,0.000000
85,C3_anneal,0.039878,0.007790,0.032088,1.440707,0.007790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977859,1.440707,1.440707,0.500000,0.000000
86,C3_anneal,0.040305,0.007801,0.032504,1.434231,0.007801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977948,1.434231,1.434231,0.500000,0.000000
87,C3_anneal,0.040536,0.007831,0.032704,1.427544,0.007831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978128,1.427544,1.427544,0.500000,0.000000
88,C3_anneal,0.040821,0.007876,0.032945,1.420668,0.007876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978049,1.420668,1.420668,0.500000,0.000000
89,C3_anneal,0.040613,0.007920,0.032693,1.413628,0.007920,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977547,1.413628,1.413628,0.500000,0.000000
90,C3_anneal,0.038958,0.007125,0.031833,1.406451,0.007125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978234,1.406451,1.406451,0.500000,0.000000
91,C3_anneal,0.039828,0.007112,0.032716,1.399161,0.007112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978693,1.399161,1.399161,0.500000,0.000000
92,C3_anneal,0.039182,0.007160,0.032022,1.391784,0.007160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978058,1.391784,1.391784,0.500000,0.000000
93,C3_anneal,0.042718,0.008012,0.034706,1.384347,0.008012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977921,1.384347,1.384347,0.500000,0.000000
94,C3_anneal,0.039773,0.007444,0.032328,1.376877,0.007444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978258,1.376877,1.376877,0.500000,0.000000
95,C3_anneal,0.040261,0.007428,0.032833,1.369400,0.007428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977919,1.369400,1.369400,0.500000,0.000000
96,C3_anneal,0.039216,0.007168,0.032048,1.361943,0.007168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977688,1.361943,1.361943,0.500000,0.000000
97,C3_anneal,0.043738,0.008011,0.035727,1.354533,0.008011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978008,1.354533,1.354533,0.500000,0.000000
