epoch,stage,stage_age,bce,kd,kd_coef,loss_drop,ema_consistency,saturation_count,switched,switch_reason
121,C3_easy_51_150,71,0.009107,0.093658,0.000000,,0.914679,0,0,
122,C3_easy_51_150,72,0.009229,0.095003,0.000000,,0.916136,0,0,
123,C3_easy_51_150,73,0.008789,0.093381,0.000000,,0.916307,0,0,
124,C3_easy_51_150,74,0.008962,0.093248,0.000000,,0.917015,0,0,
125,C3_easy_51_150,75,0.008930,0.092304,0.000000,,0.917066,0,0,
126,C3_easy_51_150,76,0.008850,0.090965,0.000000,,0.917718,0,0,
127,C3_easy_51_150,77,0.009039,0.091427,0.000000,,0.918411,0,0,
128,C3_easy_51_150,78,0.008512,0.090821,0.000000,,0.918909,0,0,
129,C3_easy_51_150,79,0.008679,0.090898,0.000000,,0.917746,0,0,
130,C3_easy_51_150,80,0.008543,0.089140,0.000000,,0.917830,0,0,
131,C3_easy_51_150,81,0.009167,0.091662,0.000000,,0.918350,0,0,
132,C3_easy_51_150,82,0.008624,0.089147,0.000000,,0.918240,0,0,
133,C3_easy_51_150,83,0.009396,0.091491,0.000000,,0.919894,0,0,
134,C3_easy_51_150,84,0.009137,0.090500,0.000000,,0.919055,0,0,
135,C3_easy_51_150,85,0.008728,0.089010,0.000000,,0.919313,0,0,
136,C3_easy_51_150,86,0.008566,0.088687,0.000000,,0.919046,0,0,
137,C3_easy_51_150,87,0.008450,0.087410,0.000000,,0.919511,0,0,
138,C3_easy_51_150,88,0.008424,0.085941,0.000000,,0.920141,0,0,
139,C3_easy_51_150,89,0.008440,0.085850,0.000000,,0.920183,0,0,
140,C3_easy_51_150,90,0.008465,0.087279,0.000000,,0.920395,0,0,
141,C3_easy_51_150,91,0.008696,0.087482,0.000000,,0.920143,0,0,
142,C3_easy_51_150,92,0.008271,0.085882,0.000000,,0.920532,0,0,
143,C3_easy_51_150,93,0.008620,0.087412,0.000000,,0.919934,0,0,
144,C3_easy_51_150,94,0.008381,0.085916,0.000000,,0.920824,0,0,
145,C3_easy_51_150,95,0.008281,0.084917,0.000000,,0.920798,0,0,
146,C3_easy_51_150,96,0.008992,0.087535,0.000000,,0.920783,0,0,
147,C3_easy_51_150,97,0.008520,0.085187,0.000000,,0.920786,0,0,
148,C3_easy_51_150,98,0.008420,0.085388,0.000000,,0.920636,0,0,
149,C3_easy_51_150,99,0.008431,0.085130,0.000000,,0.920631,0,0,
150,C3_easy_51_150,100,0.008308,0.084371,0.000000,,0.920995,0,0,
