epoch,stage,total,bce,aux_p3,aux_p3_weight,clean_iou,unvalue_accepted,unvalue_batch_count,unvalue_consistency,unvalue_dynamic,unvalue_dynamic_weight,unvalue_out,unvalue_out_weight,unvalue_reliable_pixel
136,reliable_finetune,0.019889,0.014224,0.000000,0.000000,0.108882,0.879208,1.000000,0.000239,0.021525,0.250000,0.001359,0.200000,0.948098
137,reliable_finetune,0.020912,0.014580,0.000000,0.000000,0.106258,0.900990,1.000000,0.000617,0.022904,0.250000,0.002873,0.200000,0.945219
138,reliable_finetune,0.018585,0.014304,0.000000,0.000000,0.107217,0.851485,1.000000,0.000270,0.016341,0.250000,0.000908,0.200000,0.942232
139,reliable_finetune,0.019838,0.014599,0.000000,0.000000,0.106533,0.875248,1.000000,0.000336,0.019708,0.250000,0.001476,0.200000,0.943859
140,reliable_finetune,0.019896,0.014464,0.000000,0.000000,0.108653,0.877228,1.000000,0.000216,0.020930,0.250000,0.000942,0.200000,0.944537
141,reliable_finetune,0.018684,0.014124,0.000000,0.000000,0.107596,0.851485,1.000000,0.000559,0.016842,0.250000,0.001606,0.200000,0.944776
142,reliable_finetune,0.019775,0.014637,0.000000,0.000000,0.110848,0.879208,1.000000,0.000287,0.019200,0.250000,0.001615,0.200000,0.946602
143,reliable_finetune,0.020526,0.014373,0.000000,0.000000,0.107492,0.851485,1.000000,0.000332,0.023115,0.250000,0.001788,0.200000,0.945581
144,reliable_finetune,0.018070,0.013570,0.000000,0.000000,0.110274,0.883168,1.000000,0.000285,0.017159,0.250000,0.000980,0.200000,0.941455
145,reliable_finetune,0.018772,0.014582,0.000000,0.000000,0.109548,0.883168,1.000000,0.000209,0.015281,0.250000,0.001795,0.200000,0.946232
146,reliable_finetune,0.018511,0.013943,0.000000,0.000000,0.108645,0.869307,1.000000,0.000188,0.017127,0.250000,0.001385,0.200000,0.940221
147,reliable_finetune,0.019341,0.014327,0.000000,0.000000,0.105000,0.867327,1.000000,0.000602,0.019002,0.250000,0.001170,0.200000,0.946291
148,reliable_finetune,0.018167,0.014109,0.000000,0.000000,0.104671,0.847525,1.000000,0.000189,0.015475,0.250000,0.000902,0.200000,0.943322
149,reliable_finetune,0.019756,0.014001,0.000000,0.000000,0.103095,0.885149,1.000000,0.000170,0.021977,0.250000,0.001260,0.200000,0.945667
150,reliable_finetune,0.019488,0.013995,0.000000,0.000000,0.106894,0.879208,1.000000,0.000695,0.020846,0.250000,0.001235,0.200000,0.942617
