epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
93,C3_anneal,0.168228,0.129965,0.084114,1.000000,0.940924,0.329726,0.398234,0.272040,0.453885,0.344762,0.201353
94,C3_anneal,0.171680,0.135231,0.085840,1.000000,0.955282,0.329194,0.397915,0.272891,0.453876,0.343097,0.203028
95,C3_anneal,0.173157,0.132972,0.086578,1.000000,0.967757,0.328242,0.398575,0.273183,0.451799,0.346053,0.202148
96,C3_anneal,0.169205,0.131181,0.084603,1.000000,0.978273,0.328040,0.399344,0.272617,0.450862,0.345639,0.203499
97,C3_anneal,0.168242,0.134170,0.084121,1.000000,0.986765,0.328371,0.398728,0.272901,0.452547,0.345350,0.202103
98,C3_anneal,0.161777,0.126467,0.080889,1.000000,0.993181,0.327433,0.399864,0.272703,0.453427,0.344845,0.201727
99,C3_anneal,0.173024,0.132733,0.086512,1.000000,0.997481,0.329125,0.399201,0.271674,0.452085,0.345004,0.202911
100,C3_anneal,0.166465,0.138377,0.083232,1.000000,0.999639,0.328021,0.399356,0.272623,0.451192,0.344244,0.204563
101,C3_anneal,0.169899,0.131950,0.084949,1.000000,1.000000,0.328128,0.399041,0.272831,0.449529,0.344851,0.205620
102,C3_anneal,0.163313,0.123930,0.081656,1.000000,1.000000,0.329152,0.397910,0.272938,0.449404,0.343539,0.207058
103,C3_anneal,0.167971,0.133362,0.083985,1.000000,1.000000,0.328410,0.398825,0.272765,0.450770,0.341931,0.207299
104,C3_anneal,0.161354,0.137368,0.080677,1.000000,1.000000,0.327808,0.399442,0.272750,0.449704,0.342291,0.208005
105,C3_anneal,0.162568,0.130948,0.081284,1.000000,1.000000,0.327617,0.398229,0.274153,0.451215,0.342521,0.206264
106,C3_anneal,0.159265,0.126923,0.079633,1.000000,1.000000,0.326906,0.398901,0.274193,0.453691,0.341106,0.205204
107,C3_anneal,0.160426,0.134342,0.080213,1.000000,1.000000,0.327592,0.399550,0.272858,0.452393,0.341227,0.206380
108,C3_anneal,0.157994,0.129912,0.078997,1.000000,1.000000,0.327394,0.398403,0.274204,0.452745,0.341419,0.205836
109,C3_anneal,0.159731,0.127076,0.079866,1.000000,1.000000,0.328436,0.397553,0.274011,0.452763,0.339821,0.207415
110,C3_anneal,0.162123,0.135799,0.081061,1.000000,1.000000,0.328781,0.397527,0.273692,0.449663,0.341601,0.208736
111,C3_anneal,0.155443,0.133609,0.077722,1.000000,1.000000,0.330399,0.397380,0.272221,0.450660,0.340672,0.208668
112,C3_anneal,0.152572,0.125559,0.076286,1.000000,1.000000,0.329598,0.397597,0.272805,0.451145,0.339654,0.209201
113,C3_anneal,0.154692,0.125811,0.077346,1.000000,1.000000,0.328055,0.399537,0.272408,0.447865,0.341005,0.211130
114,C3_anneal,0.153238,0.135196,0.076619,1.000000,1.000000,0.329064,0.397648,0.273288,0.443993,0.344286,0.211721
115,C3_anneal,0.147289,0.129396,0.073645,1.000000,1.000000,0.328727,0.397618,0.273655,0.445223,0.343579,0.211198
116,C3_anneal,0.153737,0.127758,0.076868,1.000000,1.000000,0.327514,0.398371,0.274115,0.444700,0.343543,0.211757
117,C3_anneal,0.142482,0.123838,0.071241,1.000000,1.000000,0.327561,0.397041,0.275398,0.443079,0.345166,0.211755
118,C3_anneal,0.151580,0.128935,0.075790,1.000000,1.000000,0.326833,0.398113,0.275054,0.442462,0.345552,0.211986
119,C3_anneal,0.145464,0.127275,0.072732,1.000000,1.000000,0.326840,0.398042,0.275118,0.443864,0.345241,0.210895
120,C3_anneal,0.145362,0.122787,0.072681,1.000000,1.000000,0.326247,0.399190,0.274563,0.443025,0.345739,0.211236
121,C3_anneal,0.142509,0.123133,0.071254,1.000000,1.000000,0.326875,0.398253,0.274873,0.443217,0.346286,0.210497
122,C3_anneal,0.140968,0.116296,0.070484,1.000000,1.000000,0.326535,0.398354,0.275111,0.443153,0.346109,0.210738
123,C3_anneal,0.137110,0.115432,0.068555,1.000000,1.000000,0.326608,0.398294,0.275098,0.442904,0.346230,0.210866
124,C3_anneal,0.137215,0.115304,0.068608,1.000000,1.000000,0.326418,0.398256,0.275326,0.443176,0.345875,0.210949
125,C3_anneal,0.134900,0.113191,0.067450,1.000000,1.000000,0.326589,0.398094,0.275317,0.443700,0.345276,0.211024
126,C3_anneal,0.133990,0.108874,0.066995,1.000000,1.000000,0.326490,0.398075,0.275435,0.443915,0.344998,0.211087
127,C3_anneal,0.132717,0.112139,0.066358,1.000000,1.000000,0.326366,0.398577,0.275057,0.443642,0.345367,0.210991
