epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine,rgpu_p2_mix,rgpu_p2_ratio,rgpu_p3_mix,rgpu_p3_ratio,rgpu_p4_mix,rgpu_p4_ratio,rgpu_p5_mix,rgpu_p5_ratio
73,C3_anneal,0.125023,0.064860,0.062511,1.000000,0.455578,0.347496,0.387684,0.264820,0.483930,0.306318,0.209752,0.226765,0.396528,-0.143280,0.164657,-0.104876,0.126153,-0.021645,0.029732
74,C3_anneal,0.127635,0.064417,0.063817,1.000000,0.479003,0.349496,0.383458,0.267047,0.482941,0.308833,0.208226,0.229246,0.400020,-0.142864,0.162596,-0.104481,0.125317,-0.020110,0.027707
75,C3_anneal,0.123715,0.065351,0.061857,1.000000,0.503482,0.349212,0.384414,0.266374,0.482152,0.308388,0.209460,0.231056,0.407067,-0.142656,0.160533,-0.103318,0.123395,-0.020208,0.027930
76,C3_anneal,0.123773,0.065291,0.061887,1.000000,0.528865,0.348501,0.385643,0.265856,0.479645,0.309405,0.210950,0.232395,0.408291,-0.144020,0.160639,-0.103672,0.122379,-0.020537,0.028550
77,C3_anneal,0.128898,0.064483,0.064449,1.000000,0.554994,0.349994,0.384349,0.265657,0.480057,0.308951,0.210993,0.233914,0.415038,-0.145179,0.160278,-0.104731,0.121003,-0.021871,0.030498
78,C3_anneal,0.124307,0.062266,0.062154,1.000000,0.581709,0.350547,0.385884,0.263570,0.479837,0.308603,0.211561,0.235960,0.416377,-0.145461,0.158767,-0.104648,0.119597,-0.020377,0.028042
79,C3_anneal,0.123451,0.068859,0.061726,1.000000,0.608845,0.350874,0.387108,0.262018,0.477898,0.308278,0.213825,0.237652,0.417410,-0.145524,0.158360,-0.106917,0.122605,-0.019396,0.026593
80,C3_anneal,0.128886,0.068592,0.064443,1.000000,0.636235,0.351277,0.383029,0.265695,0.481878,0.305337,0.212785,0.239235,0.423932,-0.146406,0.157732,-0.105897,0.122637,-0.020457,0.028259
81,C3_anneal,0.121940,0.064772,0.060970,1.000000,0.663710,0.351025,0.384192,0.264783,0.483824,0.304788,0.211388,0.241085,0.431158,-0.146790,0.157013,-0.104674,0.121132,-0.020592,0.028760
82,C3_anneal,0.124429,0.066572,0.062214,1.000000,0.691100,0.350442,0.385092,0.264467,0.482010,0.307262,0.210728,0.242597,0.431967,-0.147097,0.155052,-0.107165,0.122895,-0.018978,0.026632
83,C3_anneal,0.127883,0.067582,0.063941,1.000000,0.718237,0.351785,0.385217,0.262998,0.482412,0.305091,0.212497,0.244445,0.437298,-0.146540,0.153232,-0.107685,0.122727,-0.018233,0.025642
84,C3_anneal,0.120936,0.066157,0.060468,1.000000,0.744954,0.351996,0.386113,0.261891,0.482479,0.304682,0.212838,0.245759,0.437976,-0.146693,0.152702,-0.108339,0.123838,-0.017527,0.025224
85,C3_anneal,0.118639,0.064353,0.059320,1.000000,0.771084,0.352081,0.386696,0.261223,0.486160,0.304069,0.209771,0.247940,0.443694,-0.147621,0.152615,-0.108650,0.122636,-0.018216,0.025862
86,C3_anneal,0.118664,0.064273,0.059332,1.000000,0.796469,0.350907,0.386760,0.262333,0.487767,0.302774,0.209459,0.249517,0.448702,-0.149383,0.153489,-0.109538,0.121834,-0.019621,0.027823
87,C3_anneal,0.120073,0.067114,0.060037,1.000000,0.820950,0.349690,0.385655,0.264655,0.488201,0.302569,0.209230,0.251251,0.450076,-0.149281,0.152371,-0.110172,0.121806,-0.018281,0.026009
88,C3_anneal,0.119089,0.065696,0.059544,1.000000,0.844377,0.350714,0.386640,0.262646,0.487244,0.305505,0.207251,0.252824,0.454352,-0.148649,0.150965,-0.110861,0.122775,-0.018221,0.025770
89,C3_anneal,0.120847,0.071162,0.060423,1.000000,0.866606,0.351930,0.385916,0.262154,0.484555,0.306939,0.208505,0.254554,0.458653,-0.150512,0.152674,-0.109896,0.120811,-0.018580,0.026076
