epoch,stage,total,bce,nc,q,anchor,consistency,consistency_weight,csr_alpha,csr_gate,p3_context,p3_current,p3_fine,p3_residual_ratio,p3_route_entropy,p3_route_spatial_std,p4_context,p4_current,p4_fine,p4_residual_ratio,p4_route_entropy,p4_route_spatial_std,pixel_reliability,q_max,q_min,sample_reliability,scale_loss
39,C3_broad_1to1,0.013390,0.013390,0.000000,0.000000,0.013390,0.000000,0.000000,0.088748,0.088748,0.430338,0.323515,0.246147,0.125723,0.819806,0.118948,0.367829,0.284451,0.347720,0.088996,0.795077,0.119846,0.000000,0.000000,0.000000,0.000000,0.000000
40,C3_broad_1to1,0.012677,0.012677,0.000000,0.000000,0.012677,0.000000,0.000000,0.090549,0.090549,0.429124,0.326905,0.243971,0.127778,0.818849,0.120795,0.370712,0.282112,0.347177,0.090738,0.795220,0.119985,0.000000,0.000000,0.000000,0.000000,0.000000
41,C3_broad_1to1,0.013268,0.013268,0.000000,0.000000,0.013268,0.000000,0.000000,0.092211,0.092211,0.431431,0.326515,0.242053,0.130693,0.820325,0.120899,0.366309,0.284082,0.349609,0.092326,0.799041,0.115958,0.000000,0.000000,0.000000,0.000000,0.000000
42,C3_broad_1to1,0.012910,0.012910,0.000000,0.000000,0.012910,0.000000,0.000000,0.093726,0.093726,0.429486,0.327047,0.243467,0.132096,0.816381,0.123355,0.365503,0.284738,0.349759,0.093833,0.797216,0.116015,0.000000,0.000000,0.000000,0.000000,0.000000
43,C3_broad_1to1,0.013130,0.013130,0.000000,0.000000,0.013130,0.000000,0.000000,0.095087,0.095087,0.430756,0.325974,0.243270,0.132088,0.820493,0.120482,0.364569,0.284254,0.351177,0.095224,0.798992,0.118270,0.000000,0.000000,0.000000,0.000000,0.000000
44,C3_broad_1to1,0.012320,0.012320,0.000000,0.000000,0.012320,0.000000,0.000000,0.096291,0.096291,0.429216,0.326853,0.243931,0.135459,0.819376,0.120597,0.365719,0.285302,0.348979,0.096412,0.800611,0.117444,0.000000,0.000000,0.000000,0.000000,0.000000
45,C3_broad_1to1,0.011963,0.011963,0.000000,0.000000,0.011963,0.000000,0.000000,0.097332,0.097332,0.428963,0.323793,0.247244,0.134735,0.822349,0.119544,0.365456,0.286038,0.348506,0.097414,0.802938,0.116046,0.000000,0.000000,0.000000,0.000000,0.000000
46,C3_broad_1to1,0.013005,0.013005,0.000000,0.000000,0.013005,0.000000,0.000000,0.098205,0.098205,0.429411,0.324405,0.246185,0.137407,0.824312,0.118579,0.367704,0.283650,0.348646,0.098382,0.802425,0.119210,0.000000,0.000000,0.000000,0.000000,0.000000
47,C3_broad_1to1,0.012366,0.012366,0.000000,0.000000,0.012366,0.000000,0.000000,0.098908,0.098908,0.428320,0.325381,0.246299,0.138951,0.824317,0.117010,0.367532,0.283789,0.348679,0.099000,0.803847,0.117511,0.000000,0.000000,0.000000,0.000000,0.000000
48,C3_broad_1to1,0.011792,0.011792,0.000000,0.000000,0.011792,0.000000,0.000000,0.099438,0.099438,0.429000,0.325737,0.245263,0.138739,0.825028,0.116155,0.367386,0.285447,0.347167,0.099568,0.802405,0.115510,0.000000,0.000000,0.000000,0.000000,0.000000
