epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
130,C3_anneal,0.100912,0.057403,0.050456,1.000000,1.000000,0.358171,0.365109,0.276721,0.437951,0.346345,0.215704
131,C3_anneal,0.099186,0.054347,0.049593,1.000000,1.000000,0.358360,0.364714,0.276927,0.437709,0.346515,0.215776
132,C3_anneal,0.096897,0.051781,0.048448,1.000000,1.000000,0.358089,0.365034,0.276877,0.437246,0.346845,0.215909
133,C3_anneal,0.096917,0.051405,0.048458,1.000000,1.000000,0.358296,0.364902,0.276802,0.437430,0.346766,0.215804
134,C3_anneal,0.096527,0.050370,0.048263,1.000000,1.000000,0.358430,0.365108,0.276462,0.437500,0.346588,0.215912
135,C3_anneal,0.096963,0.054214,0.048482,1.000000,1.000000,0.358392,0.365223,0.276384,0.437352,0.346609,0.216039
136,C3_anneal,0.100078,0.052222,0.050039,1.000000,1.000000,0.358477,0.364946,0.276577,0.437203,0.346577,0.216219
137,C3_anneal,0.096185,0.050707,0.048093,1.000000,1.000000,0.358471,0.365108,0.276421,0.437140,0.346844,0.216016
138,C3_anneal,0.096042,0.052830,0.048021,1.000000,1.000000,0.358469,0.365344,0.276187,0.437181,0.346866,0.215954
139,C3_anneal,0.094620,0.053996,0.047310,1.000000,1.000000,0.358669,0.365265,0.276066,0.437274,0.346590,0.216136
140,C3_anneal,0.097655,0.050672,0.048828,1.000000,1.000000,0.358603,0.365322,0.276075,0.437660,0.346428,0.215913
141,C3_reliable_0p3,0.096308,0.048032,0.048154,1.000000,1.000000,0.359028,0.365161,0.275811,0.437538,0.346444,0.216018
142,C3_reliable_0p3,0.094390,0.051155,0.047195,1.000000,1.000000,0.359266,0.364952,0.275781,0.437248,0.346578,0.216174
143,C3_reliable_0p3,0.092812,0.051775,0.046406,1.000000,1.000000,0.358893,0.365142,0.275965,0.437162,0.346455,0.216383
144,C3_reliable_0p3,0.094401,0.048388,0.047201,1.000000,1.000000,0.358867,0.365036,0.276096,0.437326,0.346518,0.216156
145,C3_reliable_0p3,0.093874,0.054297,0.046937,1.000000,1.000000,0.358977,0.364947,0.276076,0.436948,0.346859,0.216193
146,C3_reliable_0p3,0.093793,0.051279,0.046897,1.000000,1.000000,0.358737,0.365156,0.276107,0.436930,0.347004,0.216066
147,C3_reliable_0p3,0.094229,0.052264,0.047114,1.000000,1.000000,0.358690,0.365119,0.276191,0.436683,0.347046,0.216271
148,C3_reliable_0p3,0.094402,0.051405,0.047201,1.000000,1.000000,0.358866,0.365002,0.276132,0.436398,0.347033,0.216569
149,C3_reliable_0p3,0.093481,0.052039,0.046741,1.000000,1.000000,0.358821,0.365022,0.276156,0.436482,0.347087,0.216431
150,C3_reliable_0p3,0.094048,0.050877,0.047024,1.000000,1.000000,0.358664,0.365139,0.276196,0.436139,0.347239,0.216622
