epoch,stage,total,bce,nc,q,anchor,consistency,consistency_weight,csr_alpha,csr_gate,p3_context,p3_current,p3_fine,p3_residual_ratio,p3_route_entropy,p3_route_spatial_std,p4_context,p4_current,p4_fine,p4_residual_ratio,p4_route_entropy,p4_route_spatial_std,pixel_reliability,q_max,q_min,sample_reliability,scale_loss
72,C3_anneal,0.038601,0.008368,0.030233,1.536783,0.008368,0.000000,0.000000,0.169764,0.169764,0.451236,0.288938,0.259826,0.236494,0.843043,0.124281,0.383223,0.296790,0.319987,0.170055,0.855741,0.100992,0.978117,1.536783,1.536783,0.500000,0.000000
73,C3_anneal,0.037062,0.007880,0.029183,1.527956,0.007880,0.000000,0.000000,0.174995,0.174995,0.450485,0.289290,0.260225,0.242102,0.843641,0.124856,0.382323,0.297109,0.320569,0.175370,0.856123,0.099859,0.977977,1.527956,1.527956,0.500000,0.000000
74,C3_anneal,0.037475,0.008028,0.029448,1.519294,0.008028,0.000000,0.000000,0.180226,0.180226,0.450364,0.287881,0.261755,0.246425,0.845185,0.122963,0.386075,0.295126,0.318799,0.180484,0.854425,0.100185,0.977734,1.519294,1.519294,0.500000,0.000000
75,C3_anneal,0.038878,0.008242,0.030636,1.510824,0.008242,0.000000,0.000000,0.185431,0.185431,0.449731,0.288245,0.262024,0.252411,0.845261,0.123531,0.386207,0.294846,0.318947,0.185763,0.853223,0.101248,0.977909,1.510824,1.510824,0.500000,0.000000
76,C3_anneal,0.043547,0.009385,0.034161,1.502571,0.009385,0.000000,0.000000,0.190585,0.190585,0.450049,0.287765,0.262187,0.262061,0.845082,0.122706,0.385129,0.294314,0.320557,0.190944,0.855189,0.099523,0.977964,1.502571,1.502571,0.500000,0.000000
77,C3_anneal,0.038015,0.007684,0.030331,1.494561,0.007684,0.000000,0.000000,0.195664,0.195664,0.449224,0.287701,0.263074,0.265073,0.844887,0.123381,0.385634,0.295045,0.319321,0.195846,0.852955,0.100109,0.978134,1.494561,1.494561,0.500000,0.000000
78,C3_anneal,0.038353,0.007410,0.030943,1.486818,0.007410,0.000000,0.000000,0.200641,0.200641,0.450401,0.287039,0.262559,0.271680,0.848035,0.121202,0.383561,0.295631,0.320807,0.200843,0.852423,0.098586,0.977984,1.486818,1.486818,0.500000,0.000000
79,C3_anneal,0.038162,0.007693,0.030470,1.479367,0.007693,0.000000,0.000000,0.205494,0.205494,0.449694,0.287476,0.262830,0.276553,0.849769,0.120902,0.383172,0.296178,0.320650,0.205647,0.855089,0.099074,0.977774,1.479367,1.479367,0.500000,0.000000
80,C3_anneal,0.037972,0.007615,0.030357,1.472233,0.007615,0.000000,0.000000,0.210199,0.210199,0.449289,0.287488,0.263223,0.281093,0.853713,0.118486,0.383827,0.295833,0.320340,0.210321,0.856366,0.098965,0.978187,1.472233,1.472233,0.500000,0.000000
81,C3_anneal,0.038112,0.007558,0.030554,1.465438,0.007558,0.000000,0.000000,0.214731,0.214731,0.449534,0.288173,0.262293,0.285323,0.854523,0.118104,0.384906,0.294333,0.320760,0.214832,0.858001,0.097473,0.978222,1.465438,1.465438,0.500000,0.000000
82,C3_anneal,0.037006,0.007357,0.029649,1.459006,0.007357,0.000000,0.000000,0.219071,0.219071,0.448944,0.288626,0.262431,0.289192,0.852791,0.120485,0.388530,0.294597,0.316873,0.219159,0.857511,0.098744,0.978067,1.459006,1.459006,0.500000,0.000000
83,C3_anneal,0.038589,0.007618,0.030971,1.452945,0.007618,0.000000,0.000000,0.223195,0.223195,0.449093,0.288105,0.262802,0.288847,0.856480,0.119070,0.385899,0.294980,0.319121,0.223278,0.859680,0.097645,0.978186,1.452945,1.452945,0.500000,0.000000
84,C3_anneal,0.037822,0.007290,0.030532,1.446947,0.007290,0.000000,0.000000,0.227085,0.227085,0.448945,0.287572,0.263483,0.288903,0.854655,0.120396,0.386451,0.293096,0.320453,0.227129,0.858661,0.097820,0.978211,1.446947,1.446947,0.500000,0.000000
85,C3_anneal,0.037516,0.007289,0.030227,1.440707,0.007289,0.000000,0.000000,0.230721,0.230721,0.449715,0.287412,0.262873,0.294830,0.853448,0.121112,0.385135,0.293284,0.321581,0.230764,0.858438,0.099125,0.977961,1.440707,1.440707,0.500000,0.000000
86,C3_anneal,0.038636,0.007412,0.031224,1.434231,0.007412,0.000000,0.000000,0.234086,0.234086,0.450032,0.287162,0.262806,0.299584,0.853901,0.119669,0.384752,0.294299,0.320949,0.234162,0.860599,0.098341,0.977886,1.434231,1.434231,0.500000,0.000000
87,C3_anneal,0.038794,0.007623,0.031171,1.427544,0.007623,0.000000,0.000000,0.237162,0.237162,0.450565,0.286836,0.262599,0.305442,0.857232,0.116866,0.385370,0.294233,0.320397,0.237180,0.863623,0.095120,0.977923,1.427544,1.427544,0.500000,0.000000
88,C3_anneal,0.038745,0.007228,0.031517,1.420668,0.007228,0.000000,0.000000,0.239936,0.239936,0.448477,0.287718,0.263805,0.304690,0.856575,0.118671,0.384003,0.295001,0.320996,0.239956,0.863555,0.095536,0.978026,1.420668,1.420668,0.500000,0.000000
89,C3_anneal,0.038100,0.007288,0.030812,1.413628,0.007288,0.000000,0.000000,0.242394,0.242394,0.448883,0.286418,0.264699,0.306022,0.857123,0.118939,0.383193,0.294496,0.322311,0.242415,0.863973,0.096847,0.978123,1.413628,1.413628,0.500000,0.000000
90,C3_anneal,0.038187,0.007466,0.030721,1.406451,0.007466,0.000000,0.000000,0.244523,0.244523,0.448469,0.286286,0.265245,0.305494,0.856468,0.118896,0.382925,0.293979,0.323096,0.244563,0.865300,0.096119,0.978064,1.406451,1.406451,0.500000,0.000000
91,C3_anneal,0.037419,0.006930,0.030489,1.399161,0.006930,0.000000,0.000000,0.246313,0.246313,0.447608,0.286175,0.266217,0.305485,0.859301,0.117077,0.383950,0.292527,0.323524,0.246339,0.866147,0.096179,0.977896,1.399161,1.399161,0.500000,0.000000
92,C3_anneal,0.041896,0.008570,0.033326,1.391784,0.008570,0.000000,0.000000,0.247756,0.247756,0.447915,0.287034,0.265051,0.308627,0.859179,0.116094,0.383409,0.293009,0.323582,0.247786,0.864789,0.096252,0.978206,1.391784,1.391784,0.500000,0.000000
93,C3_anneal,0.041341,0.008114,0.033226,1.384347,0.008114,0.000000,0.000000,0.248845,0.248845,0.446165,0.288445,0.265390,0.309390,0.856087,0.118271,0.382581,0.292661,0.324759,0.248858,0.866836,0.096714,0.978182,1.384347,1.384347,0.500000,0.000000
